Melissa Hernandez C,2012-05-08,7:00:00,GoPato,PAN-DBBJZFM1KIPORR,2,Panama,102
Javier Viquez T,2012-05-08,13:00:00,DHL,PAN-117HN0DYC6WXPR,2,Panama,175
Victor Arias B,2012-05-08,11:00:00,DHL,CRC-ZP0WKR21K5IFTI,1,Costa Rica,436
Juan Gomez H,2012-05-08,11:00:00,GoPato,PAN-3MGWA0Q5E07Q5S,3,Panama,126
Javier Viquez T,2012-05-09,11:00:00,Correos de Costa Rica,CRC-TKNFG7CA3K4NNQ,3,Costa Rica,423
Victor Arias B,2012-05-09,11:00:00,UPS,GTM-UJ5RAPYKS6P01X,1,Guatemala,259
Victor Arias B,2012-05-09,9:00:00,UPS,GTM-6K703YC6Y22QYI,2,Guatemala,106
Victor Arias B,2012-05-10,13:00:00,FedEx,GTM-0LE2AH346MTW52,1,Guatemala,382
Melissa Hernandez C,2012-05-10,10:00:00,UPS,PAN-JG9PM9SP5GIQS2,2,Panama,433
Pedro Rodriguez O,2012-05-10,12:00:00,Correos de Costa Rica,CRC-NMMCDRDR79JWAN,2,Costa Rica,279
Javier Viquez T,2012-05-10,9:00:00,UPS,GTM-W4GLEBNLRD676M,1,Guatemala,146
Pedro Rodriguez O,2012-05-10,9:00:00,DHL,GTM-ZQQUA8X21F5B8F,1,Guatemala,410
Pedro Rodriguez O,2012-05-10,10:00:00,Correos de Costa Rica,GTM-5YH9V2LX0K5DK0,2,Guatemala,158
Juan Gomez H,2012-05-11,10:00:00,DHL,CRC-GN2Y3VMPHUE62K,1,Costa Rica,249
Juan Gomez H,2012-05-11,9:00:00,DHL,CRC-SIM3GCXJUOI363,1,Costa Rica,122
Melissa Hernandez C,2012-05-11,10:00:00,UPS,NIC-UY216NI6JB2NDC,1,Nicaragua,409
Victor Arias B,2012-05-11,13:00:00,Correos de Costa Rica,GTM-HLWZZR80CMHLYA,3,Guatemala,325
Juan Gomez H,2012-05-12,13:00:00,FedEx,GTM-U0ZLL9KD10DJ53,2,Guatemala,135
Pedro Rodriguez O,2012-05-12,11:00:00,Correos de Costa Rica,NIC-AT3L3EXYOA54OQ,1,Nicaragua,145
Victor Arias B,2012-05-12,11:00:00,FedEx,PAN-07ST6KHZYCPBAF,1,Panama,209
Javier Viquez T,2012-05-12,12:00:00,DHL,GTM-5YZ0HFNT0LARKY,1,Guatemala,435
Melissa Hernandez C,2012-05-12,11:00:00,GoPato,GTM-PCUI23K3A2G8EK,3,Guatemala,430
Javier Viquez T,2012-05-13,9:00:00,DHL,PAN-AURCMO4HSRW7CI,3,Panama,51
Pedro Rodriguez O,2012-05-13,7:00:00,GoPato,GTM-3BP4UG366B4Z4S,2,Guatemala,222
Javier Viquez T,2012-05-14,10:00:00,FedEx,PAN-LP6BIAMMMNCYJL,3,Panama,204
Victor Arias B,2012-05-14,10:00:00,GoPato,CRC-GLXRBKEOW4NAZB,3,Costa Rica,59
Juan Gomez H,2012-05-14,9:00:00,UPS,PAN-THRI7DS484GFVI,1,Panama,152
Juan Gomez H,2012-05-14,7:00:00,Correos de Costa Rica,GTM-ZTDIGG5GLBG890,3,Guatemala,402
Javier Viquez T,2012-05-15,12:00:00,FedEx,PAN-XZY1B18ZN5GAFB,3,Panama,126
Javier Viquez T,2012-05-15,12:00:00,Correos de Costa Rica,GTM-G0LIX2YZ8SGT6Y,3,Guatemala,16
Javier Viquez T,2012-05-15,9:00:00,FedEx,GTM-SZLR3K11AQCAA5,3,Guatemala,89
Javier Viquez T,2012-05-16,10:00:00,UPS,NIC-7SNS0XXFMD1D6N,3,Nicaragua,103
Melissa Hernandez C,2012-05-16,11:00:00,FedEx,PAN-IQORCVZ3QS10ZO,3,Panama,127
Victor Arias B,2012-05-17,13:00:00,FedEx,GTM-BS4X33IR4IMHA4,2,Guatemala,123
Pedro Rodriguez O,2012-05-17,9:00:00,Correos de Costa Rica,NIC-EZF8JV0MNZH1D0,3,Nicaragua,387
Melissa Hernandez C,2012-05-17,8:00:00,DHL,GTM-HPBW1ROMSDLQHA,1,Guatemala,232
Pedro Rodriguez O,2012-05-17,13:00:00,FedEx,CRC-S63IN7WD0JKRQP,2,Costa Rica,256
Pedro Rodriguez O,2012-05-18,8:00:00,GoPato,NIC-LMM6KQRTOA41MC,1,Nicaragua,182
Melissa Hernandez C,2012-05-18,8:00:00,GoPato,PAN-YXSR6YDY1031SW,2,Panama,192
Pedro Rodriguez O,2012-05-18,9:00:00,Correos de Costa Rica,PAN-L8L1WVP4I83AKA,3,Panama,326
